City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Qasigiannguit,GL,46.4,overcast clouds,68.82,-51.19,
4,Coquimbo,CL,53.6,clear sky,-29.95,-71.34,Hotel San Juan
6,Zaysan,KZ,41.59,overcast clouds,47.47,84.87,Gostinitsa Aray
7,Cidreira,BR,57.65,clear sky,-30.18,-50.21,Hotel Castelo
8,Sheregesh,RU,31.05,overcast clouds,52.92,87.99,Hotel Olymp
12,Husavik,IS,30.2,overcast clouds,66.04,-17.34,Bjarnabúð
13,Hermanus,ZA,48.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
14,Borsa,RO,51.01,light rain,47.66,24.66,Coasta cu Izvoare
16,Lively,CA,39.0,few clouds,46.43,-81.15,Lively Inn and Suites - Sudbury
17,Port Alfred,ZA,53.73,light rain,-33.59,26.89,The Halyards Hotel
18,Ponta Do Sol,PT,69.8,scattered clouds,32.67,-17.1,Hotel do Campo
21,Nanortalik,GL,40.05,broken clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
22,Faya,SA,57.2,scattered clouds,18.39,42.45,مقبرة ال مجمل
23,Cape Town,ZA,55.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
24,Qaanaaq,GL,29.14,clear sky,77.48,-69.36,Qaanaaq Hotel
25,Ushuaia,AR,48.2,few clouds,-54.8,-68.3,Albatros Hotel
27,Vardo,NO,47.1,overcast clouds,70.37,31.11,Vardø Hotel AS
29,Namibe,AO,61.14,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
30,Pangnirtung,CA,34.48,broken clouds,66.15,-65.71,Kilabuk Lodge
31,Puerto Baquerizo Moreno,EC,66.85,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
32,San Francisco,US,64.0,overcast clouds,37.77,-122.42,The Clift Royal Sonesta Hotel
33,East London,ZA,54.01,light rain,-33.02,27.91,Tu Casa
34,Brigantine,US,66.99,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
35,Saint-Philippe,RE,70.0,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
36,Clyde River,CA,30.2,overcast clouds,70.47,-68.59,Qamaq Hotel
37,Solec Kujawski,PL,45.0,mist,53.08,18.23,MM-Rooms
38,Torbay,CA,52.0,broken clouds,47.67,-52.73,Gallows Cove
39,Samarkand,UZ,44.6,clear sky,39.65,66.96,Ideal Hotel
40,Ankazoabo,MG,71.02,clear sky,-22.28,44.52,
41,Carnarvon,AU,71.6,clear sky,-24.87,113.63,Hospitality Carnarvon
42,Beaupre,CA,51.8,broken clouds,47.04,-70.9,Chateau Mont-Sainte-Anne
46,Jamestown,US,59.0,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
47,Castro,BR,51.31,clear sky,-24.79,-50.01,CHACARA BAILLY
48,Troitsko-Pechorsk,RU,48.09,overcast clouds,62.71,56.2,Pechora Gostinitsa
53,San Cristobal,VE,66.02,moderate rain,7.77,-72.22,Pirineos
54,Iqaluit,CA,37.4,broken clouds,63.75,-68.51,Frobisher Inn
55,Roald,NO,48.2,broken clouds,62.58,6.13,Flem Cabins
56,Sept-Iles,CA,37.0,light rain,50.2,-66.38,Comfort Inn
57,Palaikastron,GR,66.99,clear sky,35.2,26.25,Marina Village
58,Tasiilaq,GL,35.6,moderate rain,65.61,-37.64,The Red House
59,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
60,San Juan,AR,62.08,clear sky,-31.54,-68.54,Hotel Provincial
61,Piltene,LV,50.0,broken clouds,57.22,21.67,Kļaviņu rezidence
63,Busselton,AU,71.01,clear sky,-33.65,115.33,Observatory Guest House
64,Gaoua,BF,72.9,moderate rain,10.3,-3.25,
65,Ribeira Grande,PT,68.94,few clouds,38.52,-28.7,Quinta da Meia Eira
66,Kruisfontein,ZA,48.99,broken clouds,-34.0,24.73,Oyster Bay House Rental
67,Punta Arenas,CL,44.6,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
69,Saint-Augustin,CA,46.42,overcast clouds,51.23,-58.65,
72,Bredasdorp,ZA,50.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
73,Dikson,RU,34.0,overcast clouds,73.51,80.55,
74,Alta Floresta,BR,70.83,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
75,Curitibanos,BR,51.91,scattered clouds,-27.28,-50.58,Tortato Palace Hotel
76,Grindavik,IS,46.4,heavy intensity rain,63.84,-22.43,Northern Light Inn & Max's Restaurant
77,Bushehr,IR,71.6,clear sky,28.97,50.84,Yas Hotel
78,Santa Cruz De Tenerife,ES,68.0,overcast clouds,28.47,-16.25,Hotel Silken Atlántida Santa Cruz
79,Gornopravdinsk,RU,44.24,overcast clouds,60.05,69.9,
80,Upernavik,GL,37.29,few clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
81,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
82,Raudeberg,NO,50.0,broken clouds,61.99,5.14,Nordre Silda.
83,Ust-Tsilma,RU,49.08,overcast clouds,65.44,52.15,U Praskov'i
86,Ornskoldsvik,SE,44.6,fog,63.29,18.72,First Hotel Statt
87,Behbahan,IR,64.4,clear sky,30.6,50.24,Esteghlal Hotel
88,Mar Del Plata,AR,52.0,few clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
89,Porto-Vecchio,FR,69.8,broken clouds,41.59,9.28,Hôtel Le Goéland - Casa Santini
91,Ayia Marina,GR,69.01,clear sky,37.75,23.53,Argo Spa Hotel
92,General Jose Eduvigis Diaz,PY,73.0,clear sky,-27.17,-58.42,
93,Arraial Do Cabo,BR,70.02,light rain,-22.97,-42.03,Pousada Porto Praia
94,Cap Malheureux,MU,73.99,clear sky,-19.98,57.61,Pereybere Hotel & Spa
95,Krasnaya Gora,RU,51.8,mist,53.0,31.6,
96,Berlevag,NO,47.16,overcast clouds,70.86,29.09,Kvitbrakka
97,Ponta Delgada,PT,68.0,broken clouds,37.73,-25.67,Vila Nova Hotel
98,Sovetskiy,RU,43.25,overcast clouds,61.36,63.58,Apartment on Kievskaya 29
100,Navoloki,RU,44.76,overcast clouds,57.47,41.96,Guest House on Pereulok Pervoy Pyatyletki 23
101,Maniitsoq,GL,39.36,light rain,65.42,-52.9,Hotel Heilmann Lyberth
102,Coihaique,CL,50.0,scattered clouds,-45.58,-72.07,Diego De Almagro Coyhaique
103,Ostrovnoy,RU,44.62,broken clouds,68.05,39.51,
104,Praia Da Vitoria,PT,66.2,broken clouds,38.73,-27.07,Hotel Branco I
105,Bambous Virieux,MU,73.99,shower rain,-20.34,57.76,Casa Tia Villa
106,Lagoa,PT,68.56,scattered clouds,39.05,-27.98,Casa Das Faias
107,Kindu,CD,70.63,overcast clouds,-2.95,25.95,Hotel Karibu
108,Rocha,UY,45.03,clear sky,-34.48,-54.33,Beleza Pura B&B
109,Riachao Das Neves,BR,72.46,light rain,-11.75,-44.91,Casa de vó Dina
110,Saldanha,ZA,53.22,clear sky,-33.01,17.94,Blue Bay Lodge
113,Amparafaravola,MG,67.84,overcast clouds,-17.58,48.22,Aina Franco
114,Lodja,CD,67.5,overcast clouds,-3.48,23.43,
115,Longyearbyen,SJ,26.6,few clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
116,Ulenje,TZ,60.1,scattered clouds,-8.93,33.68,
117,Puerto Del Rosario,ES,71.6,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
119,Codrington,AU,57.67,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
121,Sitges,ES,60.01,overcast clouds,41.24,1.81,URH Sitges Playa
122,Cayenne,GF,73.4,few clouds,4.93,-52.33,Hôtel Le Dronmi
123,Barra,BR,74.03,scattered clouds,-11.09,-43.14,Pousada Bahia
124,Chuy,UY,49.57,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
125,Dawlatabad,AF,48.36,scattered clouds,36.41,64.91,WASIM ASGAR KHAN
127,Thompson,CA,30.2,overcast clouds,55.74,-97.86,Burntwood Hotel
130,Dickson,US,68.0,moderate rain,36.08,-87.39,East Hills Bed & Breakfast Inn
132,Narsaq,GL,41.0,light rain,60.92,-46.05,Hotel Narsaq
133,Vestmannaeyjar,IS,48.56,heavy intensity rain,63.44,-20.27,Glamping & Camping
134,Togur,RU,29.14,broken clouds,58.36,82.83,
136,Mollendo,PE,59.25,overcast clouds,-17.02,-72.01,Hostal La Casa de Melgar
139,Portknockie,GB,50.0,overcast clouds,57.7,-2.86,Cullen Bay Hotel
141,Petrozavodsk,RU,44.6,overcast clouds,61.78,34.35,"Первый рыбный ресторан ""Фрегат"""
142,Tromso,NO,44.6,light intensity drizzle,69.65,18.96,"Radisson Blu Hotel, Tromsø"
145,Abu Samrah,SY,62.62,clear sky,35.3,37.18,
147,Grevesmuhlen,DE,43.0,overcast clouds,53.87,11.18,Ringhotel am See
148,Kalangala,UG,66.2,few clouds,-0.31,32.23,Ssese Habitat Resort
150,Sorochinsk,RU,39.74,overcast clouds,52.43,53.16,Hotel Skazka
151,Oksfjord,NO,46.99,overcast clouds,70.24,22.35,Bobo
153,Hofn,IS,43.54,overcast clouds,64.25,-15.21,Hótel Höfn
154,Visby,SE,51.01,few clouds,57.64,18.3,Best Western Solhem Hotel Visby
158,Buarcos,PT,61.0,clear sky,40.17,-8.88,Hotel Sweet Atlantic SPA
159,Buzuluk,RU,39.4,overcast clouds,52.78,52.26,Sri Lanka Hotel
160,Nadym,RU,33.17,light rain,65.53,72.52,Apartment on Zvereva
161,Sao Joao Da Barra,BR,70.39,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
164,Luanda,AO,73.4,scattered clouds,-8.84,13.23,EPIC SANA Luanda
165,Greeneville,US,64.0,moderate rain,36.16,-82.83,General Morgan Inn and Conference Center
166,Vagur,FO,47.61,overcast clouds,61.47,-6.81,Vestmanna Hostel
167,Giron,CO,72.55,overcast clouds,7.07,-73.17,Girón Chill Out Hotel Boutique
169,Moose Factory,CA,28.4,clear sky,51.26,-80.61,Cree Village Eco Lodge
170,Diego De Almagro,CL,54.21,clear sky,-26.37,-70.05,hotel luna del desierto
