City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Walvis Bay,NA,-22.96,14.51,53.01,93,0,8.05,clear sky
1,Lagos,NG,6.58,3.75,75.49,94,100,2.75,overcast clouds
2,Qasigiannguit,GL,68.82,-51.19,46.4,49,100,16.11,overcast clouds
3,Alto Araguaia,BR,-17.31,-53.22,77.58,42,29,5.06,scattered clouds
4,Coquimbo,CL,-29.95,-71.34,53.6,87,0,2.24,clear sky
5,Georgetown,MY,5.41,100.34,84.2,83,20,2.24,few clouds
6,Zaysan,KZ,47.47,84.87,41.59,55,90,2.17,overcast clouds
7,Cidreira,BR,-30.18,-50.21,57.65,72,0,7.9,clear sky
8,Sheregesh,RU,52.92,87.99,31.05,98,100,5.26,overcast clouds
9,Vila Velha,BR,-20.33,-40.29,75.2,69,90,13.87,overcast clouds
10,Hithadhoo,MV,-0.6,73.08,82.89,73,43,11.7,scattered clouds
11,Cabedelo,BR,-6.98,-34.83,77.0,83,20,5.82,few clouds
12,Husavik,IS,66.04,-17.34,30.2,92,100,2.24,overcast clouds
13,Hermanus,ZA,-34.42,19.23,48.99,85,0,1.99,clear sky
14,Borsa,RO,47.66,24.66,51.01,90,91,0.27,light rain
15,Victoria,HK,22.29,114.16,82.99,58,5,8.01,clear sky
16,Lively,CA,46.43,-81.15,39.0,74,20,14.99,few clouds
17,Port Alfred,ZA,-33.59,26.89,53.73,79,87,6.29,light rain
18,Ponta Do Sol,PT,32.67,-17.1,69.8,73,40,17.22,scattered clouds
19,Arlit,NE,18.74,7.39,87.03,20,39,8.93,scattered clouds
20,Kilifi,KE,-3.63,39.85,76.95,80,65,4.94,broken clouds
21,Nanortalik,GL,60.14,-45.24,40.05,85,79,9.75,broken clouds
22,Faya,SA,18.39,42.45,57.2,28,27,4.05,scattered clouds
23,Cape Town,ZA,-33.93,18.42,55.0,57,0,3.36,clear sky
24,Qaanaaq,GL,77.48,-69.36,29.14,82,4,7.81,clear sky
25,Ushuaia,AR,-54.8,-68.3,48.2,57,20,11.41,few clouds
26,Caimito,CO,8.81,-75.41,76.55,93,98,4.32,overcast clouds
27,Vardo,NO,70.37,31.11,47.1,87,95,13.98,overcast clouds
28,Sao Filipe,CV,14.9,-24.5,78.6,82,1,8.72,clear sky
29,Namibe,AO,-15.2,12.15,61.14,83,0,7.45,clear sky
30,Pangnirtung,CA,66.15,-65.71,34.48,83,79,7.16,broken clouds
31,Puerto Baquerizo Moreno,EC,-0.9,-89.6,66.85,92,31,8.95,scattered clouds
32,San Francisco,US,37.77,-122.42,64.0,94,96,1.01,overcast clouds
33,East London,ZA,-33.02,27.91,54.01,77,31,11.9,light rain
34,Brigantine,US,39.41,-74.36,66.99,88,1,11.41,clear sky
35,Saint-Philippe,RE,-21.36,55.77,70.0,73,0,3.36,clear sky
36,Clyde River,CA,70.47,-68.59,30.2,100,90,25.28,overcast clouds
37,Solec Kujawski,PL,53.08,18.23,45.0,100,99,2.24,mist
38,Torbay,CA,47.67,-52.73,52.0,87,75,17.22,broken clouds
39,Samarkand,UZ,39.65,66.96,44.6,75,0,4.7,clear sky
40,Ankazoabo,MG,-22.28,44.52,71.02,54,4,1.99,clear sky
41,Carnarvon,AU,-24.87,113.63,71.6,60,0,23.04,clear sky
42,Beaupre,CA,47.04,-70.9,51.8,71,75,8.05,broken clouds
43,Touros,BR,-5.2,-35.46,77.0,88,40,6.93,scattered clouds
44,Narasannapeta,IN,18.42,84.05,83.25,78,44,10.54,scattered clouds
45,Pabna,BD,24.0,89.25,87.24,68,42,4.74,scattered clouds
46,Jamestown,US,42.1,-79.24,59.0,93,90,11.41,overcast clouds
47,Castro,BR,-24.79,-50.01,51.31,92,2,8.68,clear sky
