City_ID,city,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sambava,MG,-14.27,50.17,74.07,90,43,8.86,scattered clouds
1,Kavaratti,IN,10.57,72.64,81.21,81,100,16.2,light rain
2,Bayji,IQ,34.93,43.49,65.77,27,0,6.58,clear sky
3,Ushuaia,AR,-54.8,-68.3,48.2,57,40,17.22,shower rain
4,Calvinia,ZA,-31.47,19.78,44.74,64,0,11.68,clear sky
5,Cape Town,ZA,-33.93,18.42,55.99,57,0,3.36,clear sky
6,Kattivakkam,IN,13.22,80.32,78.8,88,75,6.93,mist
7,Ginir,ET,7.13,40.7,57.29,67,45,3.58,scattered clouds
8,Gamboula,CF,4.12,15.14,66.49,97,100,2.06,moderate rain
9,Saint Pete Beach,US,27.73,-82.74,82.4,88,1,6.93,clear sky
10,Dikson,RU,73.51,80.55,32.49,99,100,20.36,overcast clouds
11,Ajtos,BG,42.7,27.25,57.99,93,0,4.7,clear sky
12,Ponta Delgada,PT,37.73,-25.67,68.0,82,40,10.29,scattered clouds
13,Sonipat,IN,28.98,77.02,84.99,78,0,1.83,mist
14,Arraial Do Cabo,BR,-22.97,-42.03,70.23,77,39,19.93,light rain
15,Souillac,MU,-20.52,57.52,71.6,94,40,3.36,shower rain
16,Cayenne,GF,4.93,-52.33,73.4,100,20,10.45,few clouds
17,Hurghada,EG,27.26,33.81,82.4,51,0,14.99,clear sky
18,Adilabad,IN,19.67,78.53,78.51,86,100,2.59,light rain
19,Hellin,ES,38.51,-1.7,61.0,88,100,1.45,overcast clouds
20,Padang,ID,-0.95,100.35,79.56,75,100,1.99,light rain
21,Mar Del Plata,AR,-38.0,-57.56,52.0,93,20,11.41,few clouds
22,Hermanus,ZA,-34.42,19.23,48.99,86,0,1.99,clear sky
23,Kagoro,NG,9.6,8.38,67.05,99,100,3.18,overcast clouds
24,Santa Lucia,ES,27.91,-15.54,71.6,73,20,20.8,few clouds
25,Chicama,PE,-7.84,-79.15,67.15,72,0,6.46,clear sky
26,Irtyshskiy,RU,58.33,68.13,42.08,96,100,6.11,overcast clouds
27,Hithadhoo,MV,-0.6,73.08,82.78,73,34,11.97,scattered clouds
28,Tarnogskiy Gorodok,RU,60.5,43.58,50.04,95,100,4.81,overcast clouds
29,Tasiilaq,GL,65.61,-37.64,35.6,93,100,55.25,moderate rain
30,Berlevag,NO,70.86,29.09,47.12,90,99,14.16,overcast clouds
31,Guarapari,BR,-20.67,-40.5,75.2,73,90,11.41,overcast clouds
32,Ancud,CL,-41.87,-73.82,46.99,87,10,2.24,clear sky
33,Bredasdorp,ZA,-34.53,20.04,50.0,87,9,3.36,clear sky
34,Touros,BR,-5.2,-35.46,78.8,83,40,10.29,scattered clouds
35,Khuzdar,PK,27.74,66.64,66.11,25,0,6.8,clear sky
36,Strezhevoy,RU,60.73,77.59,32.0,96,75,8.95,broken clouds
37,Carutapera,BR,-1.2,-46.02,78.12,80,0,7.43,clear sky
38,Port Alfred,ZA,-33.59,26.89,54.09,77,85,6.31,light rain
