city_id,city,country,date,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,weather_description
0,Vaini,TO,2020-10-10 18:40:21,-21.2,-175.2,69.8,94,75,9.17,broken clouds
1,Lompoc,US,2020-10-10 18:37:11,34.64,-120.46,71.01,64,1,9.57,clear sky
2,Cidreira,BR,2020-10-10 18:39:05,-30.18,-50.21,62.53,58,0,11.63,clear sky
3,Arcelia,MX,2020-10-10 18:40:22,18.28,-100.27,85.98,64,98,2.75,overcast clouds
4,Haapiti,PF,2020-10-10 18:40:22,-17.57,-149.87,82.4,69,40,9.17,scattered clouds
5,Isangel,VU,2020-10-10 18:40:22,-19.55,169.27,76.3,83,24,13.11,few clouds
6,Jiuquan,CN,2020-10-10 18:40:23,39.74,98.52,38.79,63,0,2.68,clear sky
7,Marsh Harbour,BS,2020-10-10 18:40:23,26.54,-77.06,83.25,74,51,14.0,broken clouds
8,Valparaíso,CL,2020-10-10 18:40:23,-33.04,-71.63,75.2,43,0,20.8,clear sky
9,Quatre Cocos,MU,2020-10-10 18:40:23,-20.21,57.76,75.99,94,75,4.79,broken clouds
10,Caohe,CN,2020-10-10 18:40:24,30.23,115.43,62.96,83,0,1.12,light rain
11,Lakatoro,VU,2020-10-10 18:40:24,-16.1,167.42,78.8,88,40,10.29,scattered clouds
12,Sampit,ID,2020-10-10 18:40:24,-2.53,112.95,74.28,95,99,2.1,overcast clouds
13,Bom Sucesso,BR,2020-10-10 18:40:24,-21.03,-44.76,88.52,32,98,11.79,overcast clouds
14,Laguna,BR,2020-10-10 18:39:56,-28.48,-48.78,63.99,59,2,12.91,clear sky
15,Terråk,NO,2020-10-10 18:40:25,65.09,12.37,50.0,93,88,1.12,overcast clouds
16,Caxito,AO,2020-10-10 18:40:25,-8.58,13.66,77.0,73,20,8.05,few clouds
17,Eureka,US,2020-10-10 18:37:53,40.8,-124.16,61.0,96,100,1.99,overcast clouds
18,Esim,GH,2020-10-10 18:40:26,4.87,-2.24,76.89,88,52,11.41,light rain
19,Giraldo,CO,2020-10-10 18:40:26,6.68,-75.99,68.83,64,13,2.95,few clouds
20,Bredasdorp,ZA,2020-10-10 18:40:26,-34.53,20.04,53.6,66,0,6.93,clear sky
21,Carutapera,BR,2020-10-10 18:38:16,-1.2,-46.02,84.69,63,0,8.57,clear sky
22,Ushuaia,AR,2020-10-10 18:39:36,-54.8,-68.3,55.4,37,40,21.92,scattered clouds
23,Anking,CN,2020-10-10 18:40:27,30.51,117.05,62.42,74,0,3.47,clear sky
24,Treinta y Tres,UY,2020-10-10 18:40:27,-33.23,-54.38,64.0,53,0,0.69,clear sky
25,Poum,NC,2020-10-10 18:40:28,-20.23,164.02,75.61,81,0,7.63,clear sky
26,Beloha,MG,2020-10-10 18:40:28,-25.17,45.05,67.77,81,0,3.98,clear sky
27,Colares,PT,2020-10-10 18:40:28,38.8,-9.45,68.0,72,0,19.46,clear sky
28,Shache,CN,2020-10-10 18:40:28,38.42,77.24,52.11,43,100,11.61,overcast clouds
29,Ayagoz,KZ,2020-10-10 18:40:29,47.97,80.44,35.11,71,90,7.85,overcast clouds
30,Moerai,PF,2020-10-10 18:40:29,-22.43,-151.33,75.36,83,67,9.95,broken clouds
31,San Ramón,BO,2020-10-10 18:40:29,-13.28,-64.72,102.76,23,33,7.85,scattered clouds
32,Viedma,AR,2020-10-10 18:40:30,-40.81,-63.0,64.47,45,77,22.12,broken clouds
33,Pandan,PH,2020-10-10 18:40:30,14.05,124.17,78.24,86,100,9.53,heavy intensity rain
34,Hoi An,VN,2020-10-10 18:40:30,15.88,108.33,78.8,88,90,16.11,heavy intensity rain
35,Stăneşti,RO,2020-10-10 18:40:30,43.92,25.83,63.0,88,67,2.24,broken clouds
36,Longonjo,AO,2020-10-10 18:40:31,-12.91,15.25,67.53,47,0,3.87,clear sky
